




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (84)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of protein K48-linked deubiquitination (GO:1903093)	3	1	.01	+	81.67	1.22E-02	1.00E00
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243)	3	1	.01	+	81.67	1.22E-02	1.00E00
formin-nucleated actin cable organization (GO:0110009)	3	1	.01	+	81.67	1.22E-02	1.00E00
protein-RNA covalent cross-linking repair (GO:0160127)	3	1	.01	+	81.67	1.22E-02	1.00E00
cellular response to redox state (GO:0071461)	3	1	.01	+	81.67	1.22E-02	1.00E00
formin-nucleated actin cable assembly (GO:0070649)	3	1	.01	+	81.67	1.22E-02	1.00E00
glucosamine metabolic process (GO:0006041)	3	1	.01	+	81.67	1.22E-02	1.00E00
inositol biosynthetic process (GO:0006021)	3	1	.01	+	81.67	1.22E-02	1.00E00
meiotic chromosome movement towards spindle pole (GO:0016344)	3	1	.01	+	81.67	1.22E-02	1.00E00
positive regulation of autophagosome maturation (GO:1901098)	7	2	.03	+	70.00	3.41E-04	1.00E00
asparagine transport (GO:0006867)	4	1	.02	+	61.25	1.62E-02	1.00E00
negative regulation of interleukin-1-mediated signaling pathway (GO:2000660)	8	2	.03	+	61.25	4.54E-04	1.00E00
ATP generation from poly-ADP-D-ribose (GO:1990966)	4	1	.02	+	61.25	1.62E-02	1.00E00
phosphocreatine metabolic process (GO:0006603)	4	1	.02	+	61.25	1.62E-02	1.00E00
methylglyoxal catabolic process (GO:0051596)	4	1	.02	+	61.25	1.62E-02	1.00E00
cellular detoxification of methylglyoxal (GO:0140041)	4	1	.02	+	61.25	1.62E-02	1.00E00
N-acetylglucosamine catabolic process (GO:0006046)	4	1	.02	+	61.25	1.62E-02	1.00E00
regulation of myeloid progenitor cell differentiation (GO:1905453)	4	1	.02	+	61.25	1.62E-02	1.00E00
regulation of cytoplasmic translational elongation (GO:1900247)	4	1	.02	+	61.25	1.62E-02	1.00E00
methylglyoxal catabolic process to lactate (GO:0061727)	4	1	.02	+	61.25	1.62E-02	1.00E00
phosphagen biosynthetic process (GO:0042396)	4	1	.02	+	61.25	1.62E-02	1.00E00
cellular response to methylglyoxal (GO:0097238)	4	1	.02	+	61.25	1.62E-02	1.00E00
dichotomous subdivision of terminal units involved in salivary gland branching (GO:0060666)	4	1	.02	+	61.25	1.62E-02	1.00E00
phosphocreatine biosynthetic process (GO:0046314)	4	1	.02	+	61.25	1.62E-02	1.00E00
cGAS/STING signaling pathway (GO:0140896)	5	1	.02	+	49.00	2.02E-02	1.00E00
protein localization to adherens junction (GO:0071896)	5	1	.02	+	49.00	2.02E-02	1.00E00
meiotic sister chromatid cohesion, centromeric (GO:0051754)	5	1	.02	+	49.00	2.02E-02	1.00E00
polar body extrusion after meiotic divisions (GO:0040038)	5	1	.02	+	49.00	2.02E-02	1.00E00
response to methylglyoxal (GO:0051595)	5	1	.02	+	49.00	2.02E-02	1.00E00
CMP-N-acetylneuraminate biosynthetic process (GO:0006055)	5	1	.02	+	49.00	2.02E-02	1.00E00
detection of temperature stimulus involved in thermoception (GO:0050960)	5	1	.02	+	49.00	2.02E-02	1.00E00
RNA import into mitochondrion (GO:0035927)	5	1	.02	+	49.00	2.02E-02	1.00E00
N-acylethanolamine metabolic process (GO:0070291)	5	1	.02	+	49.00	2.02E-02	1.00E00
regulation of endosome organization (GO:1904978)	5	1	.02	+	49.00	2.02E-02	1.00E00
mitochondrial translational termination (GO:0070126)	5	1	.02	+	49.00	2.02E-02	1.00E00
early endosome to recycling endosome transport (GO:0061502)	5	1	.02	+	49.00	2.02E-02	1.00E00
positive regulation of mitochondrial fusion (GO:0010636)	5	1	.02	+	49.00	2.02E-02	1.00E00
positive regulation of translational elongation (GO:0045901)	5	1	.02	+	49.00	2.02E-02	1.00E00
muscular septum morphogenesis (GO:0003150)	5	1	.02	+	49.00	2.02E-02	1.00E00
regulation of interleukin-1-mediated signaling pathway (GO:2000659)	11	2	.04	+	44.55	8.84E-04	1.00E00
N-acetylneuraminate catabolic process (GO:0019262)	6	1	.02	+	40.83	2.42E-02	1.00E00
post-embryonic animal morphogenesis (GO:0009886)	6	1	.02	+	40.83	2.42E-02	1.00E00
negative regulation of trophoblast cell migration (GO:1901164)	6	1	.02	+	40.83	2.42E-02	1.00E00
tRNA transport (GO:0051031)	6	1	.02	+	40.83	2.42E-02	1.00E00
methylglyoxal metabolic process (GO:0009438)	6	1	.02	+	40.83	2.42E-02	1.00E00
glycosylceramide catabolic process (GO:0046477)	6	1	.02	+	40.83	2.42E-02	1.00E00
CMP-N-acetylneuraminate metabolic process (GO:0046381)	6	1	.02	+	40.83	2.42E-02	1.00E00
hypothalamic tangential migration using cell-axon interactions (GO:0021856)	6	1	.02	+	40.83	2.42E-02	1.00E00
gonadotrophin-releasing hormone neuronal migration to the hypothalamus (GO:0021828)	6	1	.02	+	40.83	2.42E-02	1.00E00
N-acetylneuraminate metabolic process (GO:0006054)	13	2	.05	+	37.69	1.25E-03	1.00E00
olfactory nerve development (GO:0021553)	7	1	.03	+	35.00	2.82E-02	1.00E00
CDP-choline pathway (GO:0006657)	7	1	.03	+	35.00	2.82E-02	1.00E00
DNA replication-dependent chromatin assembly (GO:0006335)	7	1	.03	+	35.00	2.82E-02	1.00E00
positive regulation of axon extension involved in axon guidance (GO:0048842)	7	1	.03	+	35.00	2.82E-02	1.00E00
chromosome movement towards spindle pole (GO:0051305)	7	1	.03	+	35.00	2.82E-02	1.00E00
xenophagy (GO:0098792)	7	1	.03	+	35.00	2.82E-02	1.00E00
autophagosome-lysosome fusion (GO:0061909)	14	2	.06	+	35.00	1.45E-03	1.00E00
pantothenate metabolic process (GO:0015939)	7	1	.03	+	35.00	2.82E-02	1.00E00
negative regulation of neurotransmitter secretion (GO:0046929)	7	1	.03	+	35.00	2.82E-02	1.00E00
parallel actin filament bundle assembly (GO:0030046)	7	1	.03	+	35.00	2.82E-02	1.00E00
anterior commissure morphogenesis (GO:0021960)	7	1	.03	+	35.00	2.82E-02	1.00E00
galactosylceramide metabolic process (GO:0006681)	8	1	.03	+	30.62	3.22E-02	1.00E00
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:0002291)	8	1	.03	+	30.62	3.22E-02	1.00E00
meiotic cytokinesis (GO:0033206)	8	1	.03	+	30.62	3.22E-02	1.00E00
L-methionine salvage (GO:0071267)	8	1	.03	+	30.62	3.22E-02	1.00E00
L-methionine biosynthetic process (GO:0071265)	8	1	.03	+	30.62	3.22E-02	1.00E00
establishment of meiotic spindle localization (GO:0051295)	8	1	.03	+	30.62	3.22E-02	1.00E00
amino acid salvage (GO:0043102)	8	1	.03	+	30.62	3.22E-02	1.00E00
substrate localization to autophagosome (GO:0061753)	8	1	.03	+	30.62	3.22E-02	1.00E00
positive regulation of mitochondrial membrane potential (GO:0010918)	8	1	.03	+	30.62	3.22E-02	1.00E00
hypothalamus gonadotrophin-releasing hormone neuron development (GO:0021888)	8	1	.03	+	30.62	3.22E-02	1.00E00
hypothalamus gonadotrophin-releasing hormone neuron differentiation (GO:0021886)	8	1	.03	+	30.62	3.22E-02	1.00E00
hypothalamus cell migration (GO:0021855)	8	1	.03	+	30.62	3.22E-02	1.00E00
regulation of autophagosome maturation (GO:1901096)	17	2	.07	+	28.82	2.15E-03	1.00E00
DNA repair-dependent chromatin remodeling (GO:0140861)	26	3	.11	+	28.27	1.59E-04	1.00E00
galactolipid metabolic process (GO:0019374)	9	1	.04	+	27.22	3.61E-02	1.00E00
glutamine transport (GO:0006868)	9	1	.04	+	27.22	3.61E-02	1.00E00
metanephric collecting duct development (GO:0072205)	9	1	.04	+	27.22	3.61E-02	1.00E00
protoporphyrinogen IX biosynthetic process (GO:0006782)	9	1	.04	+	27.22	3.61E-02	1.00E00
phosphatidylethanolamine biosynthetic process (GO:0006646)	9	1	.04	+	27.22	3.61E-02	1.00E00
hard palate development (GO:0060022)	9	1	.04	+	27.22	3.61E-02	1.00E00
netrin-activated signaling pathway (GO:0038007)	9	1	.04	+	27.22	3.61E-02	1.00E00
protein-DNA covalent cross-linking repair (GO:0106300)	9	1	.04	+	27.22	3.61E-02	1.00E00
centromeric sister chromatid cohesion (GO:0070601)	9	1	.04	+	27.22	3.61E-02	1.00E00
inositol metabolic process (GO:0006020)	9	1	.04	+	27.22	3.61E-02	1.00E00
thermoception (GO:0050955)	9	1	.04	+	27.22	3.61E-02	1.00E00
retrograde transport, vesicle recycling within Golgi (GO:0000301)	9	1	.04	+	27.22	3.61E-02	1.00E00
phosphatidylserine acyl-chain remodeling (GO:0036150)	9	1	.04	+	27.22	3.61E-02	1.00E00
cobalamin metabolic process (GO:0009235)	9	1	.04	+	27.22	3.61E-02	1.00E00
mitochondrial outer membrane permeabilization (GO:0097345)	9	1	.04	+	27.22	3.61E-02	1.00E00
vascular wound healing (GO:0061042)	9	1	.04	+	27.22	3.61E-02	1.00E00
host-mediated activation of viral genome replication (GO:0044829)	10	1	.04	+	24.50	4.01E-02	1.00E00
positive regulation of fibroblast apoptotic process (GO:2000271)	10	1	.04	+	24.50	4.01E-02	1.00E00
negative regulation of neurotransmitter transport (GO:0051589)	10	1	.04	+	24.50	4.01E-02	1.00E00
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	10	1	.04	+	24.50	4.01E-02	1.00E00
regulation of synaptic transmission, dopaminergic (GO:0032225)	10	1	.04	+	24.50	4.01E-02	1.00E00
glucosamine-containing compound catabolic process (GO:1901072)	10	1	.04	+	24.50	4.01E-02	1.00E00
coenzyme A biosynthetic process (GO:0015937)	10	1	.04	+	24.50	4.01E-02	1.00E00
dichotomous subdivision of an epithelial terminal unit (GO:0060600)	10	1	.04	+	24.50	4.01E-02	1.00E00
membranous septum morphogenesis (GO:0003149)	10	1	.04	+	24.50	4.01E-02	1.00E00
cranial nerve formation (GO:0021603)	11	1	.04	+	22.27	4.40E-02	1.00E00
positive regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001241)	11	1	.04	+	22.27	4.40E-02	1.00E00
host-mediated perturbation of viral genome replication (GO:0044827)	11	1	.04	+	22.27	4.40E-02	1.00E00
positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902237)	11	1	.04	+	22.27	4.40E-02	1.00E00
translational termination (GO:0006415)	11	1	.04	+	22.27	4.40E-02	1.00E00
DNA alkylation repair (GO:0006307)	11	1	.04	+	22.27	4.40E-02	1.00E00
regulation of protein deubiquitination (GO:0090085)	11	1	.04	+	22.27	4.40E-02	1.00E00
protein K11-linked deubiquitination (GO:0035871)	11	1	.04	+	22.27	4.40E-02	1.00E00
GDP metabolic process (GO:0046710)	11	1	.04	+	22.27	4.40E-02	1.00E00
protoporphyrinogen IX metabolic process (GO:0046501)	11	1	.04	+	22.27	4.40E-02	1.00E00
collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063)	12	1	.05	+	20.42	4.79E-02	1.00E00
protein insertion into mitochondrial outer membrane (GO:0045040)	12	1	.05	+	20.42	4.79E-02	1.00E00
regulation of stem cell division (GO:2000035)	12	1	.05	+	20.42	4.79E-02	1.00E00
methionine biosynthetic process (GO:0009086)	12	1	.05	+	20.42	4.79E-02	1.00E00
regulation of ER to Golgi vesicle-mediated transport (GO:0060628)	12	1	.05	+	20.42	4.79E-02	1.00E00
cellular detoxification of aldehyde (GO:0110095)	13	1	.05	+	18.85	5.18E-02	1.00E00
outer mitochondrial membrane organization (GO:0007008)	13	1	.05	+	18.85	5.18E-02	1.00E00
L-serine metabolic process (GO:0006563)	13	1	.05	+	18.85	5.18E-02	1.00E00
positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110)	13	1	.05	+	18.85	5.18E-02	1.00E00
homocysteine metabolic process (GO:0050667)	13	1	.05	+	18.85	5.18E-02	1.00E00
phosphatidylcholine catabolic process (GO:0034638)	13	1	.05	+	18.85	5.18E-02	1.00E00
hypothalamus cell differentiation (GO:0021979)	13	1	.05	+	18.85	5.18E-02	1.00E00
amino sugar biosynthetic process (GO:0046349)	13	1	.05	+	18.85	5.18E-02	1.00E00
positive regulation of membrane potential (GO:0045838)	13	1	.05	+	18.85	5.18E-02	1.00E00
aldehyde catabolic process (GO:0046185)	14	1	.06	+	17.50	5.57E-02	1.00E00
negative regulation of toll-like receptor 4 signaling pathway (GO:0034144)	14	1	.06	+	17.50	5.57E-02	1.00E00
endosomal vesicle fusion (GO:0034058)	14	1	.06	+	17.50	5.57E-02	1.00E00
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	14	1	.06	+	17.50	5.57E-02	1.00E00
collecting duct development (GO:0072044)	14	1	.06	+	17.50	5.57E-02	1.00E00
regulation of translational elongation (GO:0006448)	14	1	.06	+	17.50	5.57E-02	1.00E00
response to redox state (GO:0051775)	14	1	.06	+	17.50	5.57E-02	1.00E00
base-excision repair, gap-filling (GO:0006287)	14	1	.06	+	17.50	5.57E-02	1.00E00
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	14	1	.06	+	17.50	5.57E-02	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	14	1	.06	+	17.50	5.57E-02	1.00E00
synaptic vesicle docking (GO:0016081)	14	1	.06	+	17.50	5.57E-02	1.00E00
regulation of mitochondrial fusion (GO:0010635)	14	1	.06	+	17.50	5.57E-02	1.00E00
maintenance of cell polarity (GO:0030011)	14	1	.06	+	17.50	5.57E-02	1.00E00
amino sugar catabolic process (GO:0046348)	14	1	.06	+	17.50	5.57E-02	1.00E00
mitochondrial outer membrane permeabilization involved in programmed cell death (GO:1902686)	15	1	.06	+	16.33	5.95E-02	1.00E00
glycosylceramide metabolic process (GO:0006677)	15	1	.06	+	16.33	5.95E-02	1.00E00
regulation of SNARE complex assembly (GO:0035542)	15	1	.06	+	16.33	5.95E-02	1.00E00
hepatocyte apoptotic process (GO:0097284)	15	1	.06	+	16.33	5.95E-02	1.00E00
adherens junction assembly (GO:0034333)	15	1	.06	+	16.33	5.95E-02	1.00E00
nucleotide-sugar metabolic process (GO:0009225)	46	3	.19	+	15.98	8.77E-04	1.00E00
nucleotide-sugar biosynthetic process (GO:0009226)	31	2	.13	+	15.81	7.09E-03	1.00E00
branching involved in salivary gland morphogenesis (GO:0060445)	16	1	.07	+	15.31	6.34E-02	1.00E00
methionine metabolic process (GO:0006555)	16	1	.07	+	15.31	6.34E-02	1.00E00
collagen-activated signaling pathway (GO:0038065)	16	1	.07	+	15.31	6.34E-02	1.00E00
apical protein localization (GO:0045176)	16	1	.07	+	15.31	6.34E-02	1.00E00
regulation of axon extension involved in axon guidance (GO:0048841)	16	1	.07	+	15.31	6.34E-02	1.00E00
dendrite self-avoidance (GO:0070593)	16	1	.07	+	15.31	6.34E-02	1.00E00
regulation of trophoblast cell migration (GO:1901163)	16	1	.07	+	15.31	6.34E-02	1.00E00
alpha-linolenic acid metabolic process (GO:0036109)	16	1	.07	+	15.31	6.34E-02	1.00E00
sulfur amino acid biosynthetic process (GO:0000097)	16	1	.07	+	15.31	6.34E-02	1.00E00
regulation of protein complex stability (GO:0061635)	16	1	.07	+	15.31	6.34E-02	1.00E00
positive regulation of hippo signaling (GO:0035332)	16	1	.07	+	15.31	6.34E-02	1.00E00
protein K6-linked ubiquitination (GO:0085020)	16	1	.07	+	15.31	6.34E-02	1.00E00
protein targeting to mitochondrion (GO:0006626)	33	2	.13	+	14.85	8.01E-03	1.00E00
cellular response to nitric oxide (GO:0071732)	17	1	.07	+	14.41	6.72E-02	1.00E00
lipid droplet formation (GO:0140042)	17	1	.07	+	14.41	6.72E-02	1.00E00
meiotic sister chromatid cohesion (GO:0051177)	17	1	.07	+	14.41	6.72E-02	1.00E00
ketone catabolic process (GO:0042182)	17	1	.07	+	14.41	6.72E-02	1.00E00
angiogenesis involved in wound healing (GO:0060055)	18	1	.07	+	13.61	7.10E-02	1.00E00
cellular response to reactive nitrogen species (GO:1902170)	18	1	.07	+	13.61	7.10E-02	1.00E00
lactate metabolic process (GO:0006089)	18	1	.07	+	13.61	7.10E-02	1.00E00
coenzyme A metabolic process (GO:0015936)	18	1	.07	+	13.61	7.10E-02	1.00E00
glycosphingolipid catabolic process (GO:0046479)	18	1	.07	+	13.61	7.10E-02	1.00E00
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	37	2	.15	+	13.24	9.99E-03	1.00E00
regulation of fibroblast apoptotic process (GO:2000269)	19	1	.08	+	12.89	7.48E-02	1.00E00
N-acetylglucosamine metabolic process (GO:0006044)	19	1	.08	+	12.89	7.48E-02	1.00E00
neuromuscular process controlling posture (GO:0050884)	19	1	.08	+	12.89	7.48E-02	1.00E00
chloride ion homeostasis (GO:0055064)	19	1	.08	+	12.89	7.48E-02	1.00E00
tetrahydrofolate metabolic process (GO:0046653)	19	1	.08	+	12.89	7.48E-02	1.00E00
glomerular filtration (GO:0003094)	20	1	.08	+	12.25	7.86E-02	1.00E00
late endosome to lysosome transport (GO:1902774)	20	1	.08	+	12.25	7.86E-02	1.00E00
negative regulation of toll-like receptor signaling pathway (GO:0034122)	20	1	.08	+	12.25	7.86E-02	1.00E00
calcineurin-NFAT signaling cascade (GO:0033173)	20	1	.08	+	12.25	7.86E-02	1.00E00
mitochondrion distribution (GO:0048311)	20	1	.08	+	12.25	7.86E-02	1.00E00
positive regulation of protein-containing complex disassembly (GO:0043243)	40	2	.16	+	12.25	1.16E-02	1.00E00
regulation of dopamine metabolic process (GO:0042053)	20	1	.08	+	12.25	7.86E-02	1.00E00
glycolipid catabolic process (GO:0019377)	21	1	.09	+	11.67	8.23E-02	1.00E00
hematopoietic stem cell differentiation (GO:0060218)	21	1	.09	+	11.67	8.23E-02	1.00E00
ribosome disassembly (GO:0032790)	42	2	.17	+	11.67	1.28E-02	1.00E00
monoatomic anion homeostasis (GO:0055081)	21	1	.09	+	11.67	8.23E-02	1.00E00
protein localization to cell-cell junction (GO:0150105)	21	1	.09	+	11.67	8.23E-02	1.00E00
ceramide catabolic process (GO:0046514)	21	1	.09	+	11.67	8.23E-02	1.00E00
regulation of catecholamine metabolic process (GO:0042069)	21	1	.09	+	11.67	8.23E-02	1.00E00
amino sugar metabolic process (GO:0006040)	43	2	.18	+	11.40	1.33E-02	1.00E00
response to nitric oxide (GO:0071731)	22	1	.09	+	11.14	8.61E-02	1.00E00
phosphatidylserine metabolic process (GO:0006658)	22	1	.09	+	11.14	8.61E-02	1.00E00
regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	22	1	.09	+	11.14	8.61E-02	1.00E00
positive regulation of release of cytochrome c from mitochondria (GO:0090200)	22	1	.09	+	11.14	8.61E-02	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	22	1	.09	+	11.14	8.61E-02	1.00E00
apoptotic process involved in morphogenesis (GO:0060561)	22	1	.09	+	11.14	8.61E-02	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	23	1	.09	+	10.65	8.98E-02	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	23	1	.09	+	10.65	8.98E-02	1.00E00
antiviral innate immune response (GO:0140374)	69	3	.28	+	10.65	2.83E-03	1.00E00
polarized epithelial cell differentiation (GO:0030859)	23	1	.09	+	10.65	8.98E-02	1.00E00
negative regulation of keratinocyte proliferation (GO:0010839)	23	1	.09	+	10.65	8.98E-02	1.00E00
renal filtration (GO:0097205)	23	1	.09	+	10.65	8.98E-02	1.00E00
cellular response to aldehyde (GO:0110096)	24	1	.10	+	10.21	9.35E-02	1.00E00
transposable element silencing by heterochromatin formation (GO:0141005)	24	1	.10	+	10.21	9.35E-02	1.00E00
regulation of amine metabolic process (GO:0033238)	24	1	.10	+	10.21	9.35E-02	1.00E00
negative regulation of binding (GO:0051100)	48	2	.20	+	10.21	1.64E-02	1.00E00
reticulophagy (GO:0061709)	24	1	.10	+	10.21	9.35E-02	1.00E00
negative regulation of hippo signaling (GO:0035331)	24	1	.10	+	10.21	9.35E-02	1.00E00
protein import into mitochondrial matrix (GO:0030150)	24	1	.10	+	10.21	9.35E-02	1.00E00
neuronal stem cell population maintenance (GO:0097150)	24	1	.10	+	10.21	9.35E-02	1.00E00
hematopoietic stem cell proliferation (GO:0071425)	25	1	.10	+	9.80	9.72E-02	1.00E00
protein K48-linked deubiquitination (GO:0071108)	25	1	.10	+	9.80	9.72E-02	1.00E00
detection of temperature stimulus involved in sensory perception (GO:0050961)	25	1	.10	+	9.80	9.72E-02	1.00E00
axon regeneration (GO:0031103)	25	1	.10	+	9.80	9.72E-02	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	26	1	.11	+	9.42	1.01E-01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	26	1	.11	+	9.42	1.01E-01	1.00E00
glucosamine-containing compound metabolic process (GO:1901071)	26	1	.11	+	9.42	1.01E-01	1.00E00
positive regulation of mitochondrial membrane permeability (GO:0035794)	26	1	.11	+	9.42	1.01E-01	1.00E00
dosage compensation by inactivation of X chromosome (GO:0009048)	26	1	.11	+	9.42	1.01E-01	1.00E00
sex-chromosome dosage compensation (GO:0007549)	26	1	.11	+	9.42	1.01E-01	1.00E00
corpus callosum development (GO:0022038)	27	1	.11	+	9.07	1.05E-01	1.00E00
positive regulation of calcium ion import (GO:0090280)	27	1	.11	+	9.07	1.05E-01	1.00E00
calcineurin-mediated signaling (GO:0097720)	27	1	.11	+	9.07	1.05E-01	1.00E00
secondary palate development (GO:0062009)	27	1	.11	+	9.07	1.05E-01	1.00E00
retina layer formation (GO:0010842)	27	1	.11	+	9.07	1.05E-01	1.00E00
protein refolding (GO:0042026)	27	1	.11	+	9.07	1.05E-01	1.00E00
phosphatidylethanolamine metabolic process (GO:0046337)	27	1	.11	+	9.07	1.05E-01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	55	2	.22	+	8.91	2.13E-02	1.00E00
salivary gland morphogenesis (GO:0007435)	28	1	.11	+	8.75	1.08E-01	1.00E00
telencephalon glial cell migration (GO:0022030)	28	1	.11	+	8.75	1.08E-01	1.00E00
heme biosynthetic process (GO:0006783)	28	1	.11	+	8.75	1.08E-01	1.00E00
cochlea morphogenesis (GO:0090103)	28	1	.11	+	8.75	1.08E-01	1.00E00
negative regulation of protein binding (GO:0032091)	28	1	.11	+	8.75	1.08E-01	1.00E00
plasma membrane phospholipid scrambling (GO:0017121)	28	1	.11	+	8.75	1.08E-01	1.00E00
detection of temperature stimulus (GO:0016048)	28	1	.11	+	8.75	1.08E-01	1.00E00
cerebral cortex radial glia-guided migration (GO:0021801)	28	1	.11	+	8.75	1.08E-01	1.00E00
multicellular organismal-level iron ion homeostasis (GO:0060586)	28	1	.11	+	8.75	1.08E-01	1.00E00
epithelial tube branching involved in lung morphogenesis (GO:0060441)	29	1	.12	+	8.45	1.12E-01	1.00E00
regulation of nucleotide-excision repair (GO:2000819)	29	1	.12	+	8.45	1.12E-01	1.00E00
GMP metabolic process (GO:0046037)	29	1	.12	+	8.45	1.12E-01	1.00E00
adaptive thermogenesis (GO:1990845)	29	1	.12	+	8.45	1.12E-01	1.00E00
presynaptic endocytosis (GO:0140238)	58	2	.24	+	8.45	2.35E-02	1.00E00
vesicle-mediated transport between endosomal compartments (GO:0098927)	29	1	.12	+	8.45	1.12E-01	1.00E00
dendritic spine development (GO:0060996)	29	1	.12	+	8.45	1.12E-01	1.00E00
central nervous system projection neuron axonogenesis (GO:0021952)	29	1	.12	+	8.45	1.12E-01	1.00E00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	60	2	.24	+	8.17	2.50E-02	1.00E00
tetrapyrrole metabolic process (GO:0033013)	60	2	.24	+	8.17	2.50E-02	1.00E00
positive regulation of membrane permeability (GO:1905710)	30	1	.12	+	8.17	1.16E-01	1.00E00
hypothalamus development (GO:0021854)	30	1	.12	+	8.17	1.16E-01	1.00E00
regulation of toll-like receptor 4 signaling pathway (GO:0034143)	31	1	.13	+	7.90	1.19E-01	1.00E00
cranial nerve morphogenesis (GO:0021602)	31	1	.13	+	7.90	1.19E-01	1.00E00
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	31	1	.13	+	7.90	1.19E-01	1.00E00
protein insertion into mitochondrial membrane (GO:0051204)	31	1	.13	+	7.90	1.19E-01	1.00E00
neuron projection regeneration (GO:0031102)	31	1	.13	+	7.90	1.19E-01	1.00E00
cellular response to interferon-beta (GO:0035458)	31	1	.13	+	7.90	1.19E-01	1.00E00
serine family amino acid metabolic process (GO:0009069)	31	1	.13	+	7.90	1.19E-01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	31	1	.13	+	7.90	1.19E-01	1.00E00
salivary gland development (GO:0007431)	32	1	.13	+	7.66	1.23E-01	1.00E00
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	64	2	.26	+	7.66	2.82E-02	1.00E00
porphyrin-containing compound biosynthetic process (GO:0006779)	32	1	.13	+	7.66	1.23E-01	1.00E00
negative regulation of microtubule depolymerization (GO:0007026)	32	1	.13	+	7.66	1.23E-01	1.00E00
negative regulation of interleukin-1 beta production (GO:0032691)	32	1	.13	+	7.66	1.23E-01	1.00E00
tetrapyrrole biosynthetic process (GO:0033014)	32	1	.13	+	7.66	1.23E-01	1.00E00
sensory perception of temperature stimulus (GO:0050951)	32	1	.13	+	7.66	1.23E-01	1.00E00
