




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (53)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of hemostasis (GO:1900048)	26	5	.07	+	74.67	5.89E-09	1.55E-06
positive regulation of blood coagulation (GO:0030194)	26	5	.07	+	74.67	5.89E-09	1.53E-06
complement activation, alternative pathway (GO:0006957)	16	3	.04	+	72.81	8.82E-06	1.51E-03
regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002923)	16	3	.04	+	72.81	8.82E-06	1.50E-03
regulation of opsonization (GO:1903027)	11	2	.03	+	70.60	3.53E-04	4.27E-02
cytolysis by host of symbiont cells (GO:0051838)	11	2	.03	+	70.60	3.53E-04	4.23E-02
acute inflammatory response (GO:0002526)	73	13	.19	+	69.15	3.43E-21	1.69E-17
complement activation, GZMK pathway (GO:0160257)	12	2	.03	+	64.72	4.22E-04	4.91E-02
positive regulation of coagulation (GO:0050820)	30	5	.08	+	64.72	1.27E-08	3.06E-06
plasminogen activation (GO:0031639)	12	2	.03	+	64.72	4.22E-04	4.87E-02
regulation of respiratory burst (GO:0060263)	19	3	.05	+	61.31	1.52E-05	2.43E-03
zymogen activation (GO:0031638)	38	6	.10	+	61.31	5.65E-10	1.89E-07
negative regulation of blood coagulation (GO:0030195)	46	7	.12	+	59.09	2.47E-11	1.35E-08
glomerular filtration (GO:0003094)	20	3	.05	+	58.25	1.78E-05	2.77E-03
negative regulation of hemostasis (GO:1900047)	47	7	.12	+	57.83	2.89E-11	1.52E-08
negative regulation of coagulation (GO:0050819)	49	7	.13	+	55.47	3.94E-11	1.94E-08
renal filtration (GO:0097205)	23	3	.06	+	50.65	2.75E-05	4.06E-03
regulation of humoral immune response (GO:0002920)	47	6	.12	+	49.57	2.16E-09	6.37E-07
regulation of blood coagulation (GO:0030193)	68	8	.18	+	45.68	7.31E-12	5.14E-09
regulation of hemostasis (GO:1900046)	70	8	.18	+	44.38	9.30E-12	6.24E-09
plasma lipoprotein particle remodeling (GO:0034369)	37	4	.10	+	41.98	2.43E-06	4.60E-04
protein-lipid complex remodeling (GO:0034368)	37	4	.10	+	41.98	2.43E-06	4.54E-04
regulation of coagulation (GO:0050818)	75	8	.19	+	41.42	1.65E-11	1.01E-08
negative regulation of wound healing (GO:0061045)	67	7	.17	+	40.57	3.85E-10	1.49E-07
antibacterial humoral response (GO:0019731)	68	7	.18	+	39.97	4.28E-10	1.54E-07
protein-containing complex remodeling (GO:0034367)	39	4	.10	+	39.83	3.02E-06	5.56E-04
B cell receptor signaling pathway (GO:0050853)	57	5	.15	+	34.06	3.53E-07	7.44E-05
biological process involved in interaction with symbiont (GO:0051702)	36	3	.09	+	32.36	1.08E-04	1.45E-02
positive regulation of wound healing (GO:0090303)	63	5	.16	+	30.82	5.86E-07	1.22E-04
plasma lipoprotein particle organization (GO:0071827)	52	4	.13	+	29.87	9.68E-06	1.61E-03
negative regulation of response to wounding (GO:1903035)	91	7	.23	+	29.87	3.41E-09	9.33E-07
protein-lipid complex organization (GO:0071825)	55	4	.14	+	28.24	1.21E-05	1.99E-03
positive regulation of response to wounding (GO:1903036)	71	5	.18	+	27.35	1.07E-06	2.10E-04
humoral immune response (GO:0006959)	273	18	.70	+	25.60	3.93E-21	1.45E-17
blood coagulation (GO:0007596)	191	12	.49	+	24.40	5.52E-14	6.26E-11
coagulation (GO:0050817)	193	12	.50	+	24.14	6.25E-14	6.59E-11
regulation of wound healing (GO:0061041)	131	8	.34	+	23.71	1.51E-09	4.65E-07
hemostasis (GO:0007599)	197	12	.51	+	23.65	8.00E-14	7.87E-11
regulation of plasma lipoprotein particle levels (GO:0097006)	66	4	.17	+	23.53	2.51E-05	3.78E-03
positive regulation of receptor-mediated endocytosis (GO:0048260)	54	3	.14	+	21.57	3.65E-04	4.34E-02
immunoglobulin mediated immune response (GO:0016064)	183	10	.47	+	21.22	3.38E-11	1.72E-08
antimicrobial humoral response (GO:0019730)	168	9	.43	+	20.80	4.23E-10	1.56E-07
B cell mediated immunity (GO:0019724)	188	10	.48	+	20.65	4.41E-11	2.10E-08
regulation of response to wounding (GO:1903034)	168	8	.43	+	18.49	1.08E-08	2.66E-06
negative regulation of immune effector process (GO:0002698)	136	6	.35	+	17.13	1.33E-06	2.57E-04
protein processing (GO:0016485)	196	8	.50	+	15.85	3.60E-08	8.31E-06
lymphocyte mediated immunity (GO:0002449)	264	10	.68	+	14.71	1.22E-09	3.84E-07
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	270	10	.70	+	14.38	1.52E-09	4.57E-07
wound healing (GO:0042060)	339	12	.87	+	13.75	4.79E-11	2.21E-08
disruption of cell in another organism (GO:0141061)	115	4	.30	+	13.51	2.19E-04	2.77E-02
killing of cells of another organism (GO:0031640)	115	4	.30	+	13.51	2.19E-04	2.74E-02
activation of immune response (GO:0002253)	406	14	1.05	+	13.39	1.29E-12	9.54E-10
regulation of body fluid levels (GO:0050878)	381	13	.98	+	13.25	1.05E-11	6.77E-09
leukocyte mediated immunity (GO:0002443)	323	11	.83	+	13.22	5.09E-10	1.79E-07
disruption of anatomical structure in another organism (GO:0141060)	119	4	.31	+	13.05	2.50E-04	3.10E-02
defense response to bacterium (GO:0042742)	319	10	.82	+	12.17	7.52E-09	1.91E-06
antigen receptor-mediated signaling pathway (GO:0050851)	161	5	.41	+	12.06	5.83E-05	8.28E-03
positive regulation of endocytosis (GO:0045807)	161	5	.41	+	12.06	5.83E-05	8.20E-03
inflammatory response (GO:0006954)	601	18	1.55	+	11.63	4.63E-15	5.70E-12
response to wounding (GO:0009611)	457	13	1.18	+	11.05	1.01E-10	4.39E-08
negative regulation of immune response (GO:0050777)	212	6	.55	+	10.99	1.71E-05	2.68E-03
immune effector process (GO:0002252)	500	14	1.29	+	10.87	2.10E-11	1.24E-08
cell killing (GO:0001906)	180	5	.46	+	10.79	9.89E-05	1.34E-02
protein maturation (GO:0051604)	554	13	1.43	+	9.11	1.06E-09	3.41E-07
defense response to symbiont (GO:0140546)	908	21	2.34	+	8.98	2.29E-15	3.37E-12
defense response to other organism (GO:0098542)	924	21	2.38	+	8.83	3.23E-15	4.33E-12
negative regulation of response to external stimulus (GO:0032102)	404	9	1.04	+	8.65	8.18E-07	1.63E-04
positive regulation of immune response (GO:0050778)	689	15	1.77	+	8.45	1.23E-10	5.17E-08
defense response (GO:0006952)	1527	32	3.93	+	8.14	3.60E-23	5.31E-19
response to bacterium (GO:0009617)	704	13	1.81	+	7.17	1.87E-08	4.46E-06
regulation of proteolysis (GO:0030162)	386	7	.99	+	7.04	5.67E-05	8.12E-03
adaptive immune response (GO:0002250)	688	12	1.77	+	6.77	1.34E-07	3.01E-05
regulation of lipid metabolic process (GO:0019216)	345	6	.89	+	6.75	2.51E-04	3.09E-02
regulation of immune effector process (GO:0002697)	414	7	1.07	+	6.57	8.80E-05	1.21E-02
negative regulation of immune system process (GO:0002683)	546	9	1.41	+	6.40	9.55E-06	1.60E-03
regulation of immune response (GO:0050776)	1033	17	2.66	+	6.39	4.17E-10	1.58E-07
innate immune response (GO:0045087)	800	13	2.06	+	6.31	8.37E-08	1.90E-05
response to other organism (GO:0051707)	1457	23	3.75	+	6.13	2.37E-13	2.18E-10
response to external biotic stimulus (GO:0043207)	1460	23	3.76	+	6.12	2.47E-13	2.15E-10
response to biotic stimulus (GO:0009607)	1507	23	3.88	+	5.93	4.80E-13	3.73E-10
biological process involved in interspecies interaction between organisms (GO:0044419)	1627	24	4.19	+	5.73	2.49E-13	2.04E-10
positive regulation of immune system process (GO:0002684)	1045	15	2.69	+	5.57	3.53E-08	8.27E-06
regulation of immune system process (GO:0002682)	1661	21	4.28	+	4.91	2.51E-10	9.99E-08
immune response (GO:0006955)	1753	22	4.51	+	4.87	8.95E-11	4.00E-08
regulation of response to external stimulus (GO:0032101)	1122	14	2.89	+	4.85	6.15E-07	1.26E-04
regulation of cytokine production (GO:0001817)	807	10	2.08	+	4.81	3.43E-05	5.01E-03
negative regulation of multicellular organismal process (GO:0051241)	1146	14	2.95	+	4.74	7.93E-07	1.60E-04
response to external stimulus (GO:0009605)	2003	24	5.16	+	4.65	2.17E-11	1.23E-08
response to stress (GO:0006950)	3577	38	9.21	+	4.13	4.48E-18	1.10E-14
negative regulation of response to stimulus (GO:0048585)	1768	18	4.55	+	3.95	2.07E-07	4.42E-05
positive regulation of response to stimulus (GO:0048584)	2316	23	5.96	+	3.86	2.91E-09	8.25E-07
regulation of response to stress (GO:0080134)	1455	14	3.75	+	3.74	1.28E-05	2.08E-03
regulation of protein metabolic process (GO:0051246)	1479	14	3.81	+	3.68	1.55E-05	2.45E-03
immune system process (GO:0002376)	2436	23	6.27	+	3.67	7.75E-09	1.94E-06
positive regulation of gene expression (GO:0010628)	1197	11	3.08	+	3.57	1.96E-04	2.49E-02
proteolysis (GO:0006508)	1292	11	3.33	+	3.31	3.79E-04	4.47E-02
regulation of response to stimulus (GO:0048583)	4142	30	10.67	+	2.81	5.34E-09	1.43E-06
regulation of multicellular organismal process (GO:0051239)	2996	20	7.72	+	2.59	2.71E-05	4.03E-03
regulation of biological quality (GO:0065008)	3033	19	7.81	+	2.43	1.14E-04	1.52E-02
response to stimulus (GO:0050896)	8315	49	21.41	+	2.29	1.87E-15	3.07E-12
positive regulation of biological process (GO:0048518)	6174	32	15.90	+	2.01	6.02E-06	1.06E-03
biological regulation (GO:0065007)	12243	47	31.53	+	1.49	4.06E-06	7.31E-04
regulation of biological process (GO:0050789)	11842	43	30.50	+	1.41	4.06E-04	4.75E-02
