




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (427)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
morphogenesis of an epithelial sheet (GO:0002011)	54	8	1.12	+	7.14	1.45E-05	1.20E-03
cholesterol transport (GO:0030301)	68	10	1.41	+	7.09	1.32E-06	1.73E-04
positive regulation of nitric oxide metabolic process (GO:1904407)	41	6	.85	+	7.05	1.87E-04	9.66E-03
protein localization to lysosome (GO:0061462)	48	7	1.00	+	7.03	5.57E-05	3.57E-03
protein-lipid complex organization (GO:0071825)	55	8	1.14	+	7.01	1.67E-05	1.34E-03
positive regulation of cholesterol transport (GO:0032376)	35	5	.73	+	6.89	7.30E-04	2.94E-02
positive regulation of sterol transport (GO:0032373)	35	5	.73	+	6.89	7.30E-04	2.93E-02
regulation of nitric oxide metabolic process (GO:0080164)	63	9	1.31	+	6.89	5.75E-06	5.18E-04
neuromuscular junction development (GO:0007528)	42	6	.87	+	6.89	2.15E-04	1.08E-02
endoderm development (GO:0007492)	85	12	1.76	+	6.80	1.83E-07	3.46E-05
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	64	9	1.33	+	6.78	6.57E-06	5.88E-04
virion assembly (GO:0019068)	36	5	.75	+	6.69	8.33E-04	3.26E-02
negative regulation of cell killing (GO:0031342)	36	5	.75	+	6.69	8.33E-04	3.25E-02
proton motive force-driven ATP synthesis (GO:0015986)	72	10	1.49	+	6.69	2.26E-06	2.59E-04
regulation of sodium ion transport (GO:0002028)	73	10	1.51	+	6.60	2.58E-06	2.86E-04
establishment of protein localization to vacuole (GO:0072666)	59	8	1.22	+	6.54	2.83E-05	2.11E-03
response to growth hormone (GO:0060416)	37	5	.77	+	6.51	9.47E-04	3.59E-02
prostaglandin metabolic process (GO:0006693)	37	5	.77	+	6.51	9.47E-04	3.58E-02
lipid storage (GO:0019915)	52	7	1.08	+	6.49	9.42E-05	5.49E-03
viral life cycle (GO:0019058)	186	25	3.86	+	6.48	1.27E-13	2.35E-10
cellular oxidant detoxification (GO:0098869)	82	11	1.70	+	6.47	1.01E-06	1.39E-04
biological process involved in interaction with host (GO:0051701)	150	20	3.11	+	6.43	4.30E-11	4.23E-08
zymogen activation (GO:0031638)	38	5	.79	+	6.34	1.07E-03	3.92E-02
regulation of cholesterol efflux (GO:0010874)	38	5	.79	+	6.34	1.07E-03	3.91E-02
endothelial cell development (GO:0001885)	54	7	1.12	+	6.25	1.20E-04	6.68E-03
ATP biosynthetic process (GO:0006754)	85	11	1.76	+	6.24	1.45E-06	1.81E-04
maintenance of blood-brain barrier (GO:0035633)	39	5	.81	+	6.18	1.21E-03	4.28E-02
protein targeting to vacuole (GO:0006623)	47	6	.98	+	6.15	4.03E-04	1.87E-02
glutathione metabolic process (GO:0006749)	63	8	1.31	+	6.12	4.59E-05	3.04E-03
regulation of sodium ion transmembrane transport (GO:1902305)	40	5	.83	+	6.02	1.36E-03	4.53E-02
cellular detoxification (GO:1990748)	112	14	2.32	+	6.02	8.38E-08	1.87E-05
cellular response to lipoprotein particle stimulus (GO:0071402)	40	5	.83	+	6.02	1.36E-03	4.52E-02
animal organ regeneration (GO:0031100)	56	7	1.16	+	6.02	1.52E-04	8.16E-03
nutrient storage (GO:0170062)	57	7	1.18	+	5.92	1.70E-04	8.94E-03
regulation of wound healing (GO:0061041)	131	16	2.72	+	5.89	1.40E-08	3.96E-06
response to angiotensin (GO:1990776)	41	5	.85	+	5.88	1.52E-03	4.92E-02
negative regulation of response to wounding (GO:1903035)	91	11	1.89	+	5.83	2.88E-06	3.10E-04
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	50	6	1.04	+	5.78	5.66E-04	2.36E-02
positive regulation of muscle cell differentiation (GO:0051149)	67	8	1.39	+	5.75	7.19E-05	4.39E-03
protein localization to vacuole (GO:0072665)	76	9	1.58	+	5.71	2.73E-05	2.06E-03
cholesterol metabolic process (GO:0008203)	119	14	2.47	+	5.67	1.81E-07	3.47E-05
biological process involved in symbiotic interaction (GO:0044403)	188	22	3.90	+	5.64	6.21E-11	5.72E-08
positive regulation of reactive oxygen species metabolic process (GO:2000379)	69	8	1.43	+	5.59	8.89E-05	5.23E-03
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	96	11	1.99	+	5.52	4.89E-06	4.59E-04
purine nucleoside triphosphate biosynthetic process (GO:0009145)	97	11	2.01	+	5.47	5.41E-06	5.02E-04
regulation of response to wounding (GO:1903034)	168	19	3.49	+	5.45	2.27E-09	8.80E-07
cellular response to toxic substance (GO:0097237)	126	14	2.61	+	5.36	3.69E-07	6.41E-05
intracellular pH reduction (GO:0051452)	55	6	1.14	+	5.26	9.46E-04	3.60E-02
positive regulation of cell-substrate adhesion (GO:0010811)	129	14	2.68	+	5.23	4.94E-07	7.93E-05
modified amino acid metabolic process (GO:0006575)	185	20	3.84	+	5.21	1.90E-09	8.24E-07
nucleoside triphosphate biosynthetic process (GO:0009142)	111	12	2.30	+	5.21	3.37E-06	3.48E-04
ribonucleoside triphosphate biosynthetic process (GO:0009201)	102	11	2.12	+	5.20	8.83E-06	7.76E-04
secondary alcohol metabolic process (GO:1902652)	130	14	2.70	+	5.19	5.44E-07	8.53E-05
sterol metabolic process (GO:0016125)	130	14	2.70	+	5.19	5.44E-07	8.44E-05
digestive system process (GO:0022600)	84	9	1.74	+	5.16	6.10E-05	3.84E-03
lipid homeostasis (GO:0055088)	180	19	3.73	+	5.09	7.20E-09	2.26E-06
viral process (GO:0016032)	267	28	5.54	+	5.05	2.20E-12	2.95E-09
regulation of potassium ion transmembrane transport (GO:1901379)	67	7	1.39	+	5.04	4.69E-04	2.06E-02
fatty acid beta-oxidation (GO:0006635)	58	6	1.20	+	4.99	1.25E-03	4.36E-02
aerobic electron transport chain (GO:0019646)	87	9	1.81	+	4.99	8.04E-05	4.79E-03
receptor internalization (GO:0031623)	68	7	1.41	+	4.96	5.14E-04	2.21E-02
regulation of cholesterol transport (GO:0032374)	59	6	1.22	+	4.90	1.37E-03	4.55E-02
regulation of sterol transport (GO:0032371)	59	6	1.22	+	4.90	1.37E-03	4.54E-02
apical junction assembly (GO:0043297)	59	6	1.22	+	4.90	1.37E-03	4.53E-02
collagen metabolic process (GO:0032963)	69	7	1.43	+	4.89	5.62E-04	2.35E-02
detoxification (GO:0098754)	149	15	3.09	+	4.85	5.17E-07	8.20E-05
positive regulation of lipid localization (GO:1905954)	100	10	2.07	+	4.82	4.37E-05	2.93E-03
organic hydroxy compound transport (GO:0015850)	170	17	3.53	+	4.82	9.94E-08	2.10E-05
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	70	7	1.45	+	4.82	6.13E-04	2.55E-02
regulation of T cell receptor signaling pathway (GO:0050856)	60	6	1.24	+	4.82	1.50E-03	4.87E-02
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	91	9	1.89	+	4.77	1.14E-04	6.49E-03
ATP synthesis coupled electron transport (GO:0042773)	91	9	1.89	+	4.77	1.14E-04	6.46E-03
positive regulation of response to wounding (GO:1903036)	71	7	1.47	+	4.75	6.68E-04	2.75E-02
formation of primary germ layer (GO:0001704)	124	12	2.57	+	4.66	1.07E-05	9.17E-04
oxidative phosphorylation (GO:0006119)	115	11	2.39	+	4.61	2.77E-05	2.08E-03
integrin-mediated signaling pathway (GO:0007229)	105	10	2.18	+	4.59	6.64E-05	4.10E-03
regulation of lipid localization (GO:1905952)	158	15	3.28	+	4.58	1.10E-06	1.48E-04
cell-matrix adhesion (GO:0007160)	137	13	2.84	+	4.57	5.73E-06	5.19E-04
electron transport chain (GO:0022900)	117	11	2.43	+	4.53	3.26E-05	2.38E-03
digestion (GO:0007586)	117	11	2.43	+	4.53	3.26E-05	2.37E-03
respiratory electron transport chain (GO:0022904)	107	10	2.22	+	4.50	7.79E-05	4.66E-03
positive regulation of endocytosis (GO:0045807)	161	15	3.34	+	4.49	1.39E-06	1.77E-04
ATP metabolic process (GO:0046034)	172	16	3.57	+	4.48	6.34E-07	9.45E-05
extracellular matrix organization (GO:0030198)	271	25	5.62	+	4.45	5.32E-10	3.02E-07
triglyceride metabolic process (GO:0006641)	76	7	1.58	+	4.44	1.01E-03	3.71E-02
regulation of ERBB signaling pathway (GO:1901184)	76	7	1.58	+	4.44	1.01E-03	3.70E-02
extracellular structure organization (GO:0043062)	272	25	5.64	+	4.43	5.74E-10	3.03E-07
external encapsulating structure organization (GO:0045229)	273	25	5.66	+	4.41	6.20E-10	3.16E-07
lysosomal transport (GO:0007041)	132	12	2.74	+	4.38	2.02E-05	1.57E-03
endothelial cell differentiation (GO:0045446)	89	8	1.85	+	4.33	5.24E-04	2.24E-02
positive regulation of small GTPase mediated signal transduction (GO:0051057)	78	7	1.62	+	4.33	1.17E-03	4.21E-02
regulation of lipid transport (GO:0032368)	134	12	2.78	+	4.32	2.35E-05	1.81E-03
purine ribonucleotide biosynthetic process (GO:0009152)	146	13	3.03	+	4.29	1.15E-05	9.75E-04
receptor-mediated endocytosis (GO:0006898)	170	15	3.53	+	4.25	2.76E-06	2.99E-04
protein processing (GO:0016485)	196	17	4.07	+	4.18	7.65E-07	1.13E-04
purine ribonucleoside triphosphate metabolic process (GO:0009205)	196	17	4.07	+	4.18	7.65E-07	1.12E-04
cell-substrate adhesion (GO:0031589)	185	16	3.84	+	4.17	1.68E-06	2.03E-04
wound healing (GO:0042060)	339	29	7.03	+	4.12	1.32E-10	1.02E-07
phospholipid transport (GO:0015914)	106	9	2.20	+	4.09	3.65E-04	1.71E-02
regulation of reactive oxygen species metabolic process (GO:2000377)	142	12	2.95	+	4.07	4.18E-05	2.83E-03
blood coagulation (GO:0007596)	191	16	3.96	+	4.04	2.55E-06	2.85E-04
purine nucleoside triphosphate metabolic process (GO:0009144)	203	17	4.21	+	4.04	1.25E-06	1.64E-04
steroid biosynthetic process (GO:0006694)	96	8	1.99	+	4.02	8.68E-04	3.35E-02
protein N-linked glycosylation (GO:0006487)	96	8	1.99	+	4.02	8.68E-04	3.34E-02
coagulation (GO:0050817)	193	16	4.00	+	4.00	2.92E-06	3.12E-04
vacuolar transport (GO:0007034)	169	14	3.51	+	3.99	1.22E-05	1.03E-03
regulation of protein localization to plasma membrane (GO:1903076)	121	10	2.51	+	3.98	2.17E-04	1.09E-02
alcohol biosynthetic process (GO:0046165)	97	8	2.01	+	3.97	9.29E-04	3.55E-02
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	98	8	2.03	+	3.93	9.94E-04	3.68E-02
steroid metabolic process (GO:0008202)	258	21	5.35	+	3.92	1.14E-07	2.37E-05
hemostasis (GO:0007599)	197	16	4.09	+	3.91	3.81E-06	3.85E-04
proton transmembrane transport (GO:1902600)	185	15	3.84	+	3.91	7.79E-06	6.89E-04
liver development (GO:0001889)	136	11	2.82	+	3.90	1.29E-04	7.06E-03
ribonucleotide biosynthetic process (GO:0009260)	162	13	3.36	+	3.87	3.48E-05	2.44E-03
purine nucleotide biosynthetic process (GO:0006164)	175	14	3.63	+	3.86	1.82E-05	1.43E-03
hepaticobiliary system development (GO:0061008)	139	11	2.88	+	3.81	1.56E-04	8.35E-03
response to toxic substance (GO:0009636)	255	20	5.29	+	3.78	4.15E-07	7.04E-05
negative regulation of transmembrane transport (GO:0034763)	103	8	2.14	+	3.74	1.37E-03	4.51E-02
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	129	10	2.68	+	3.74	3.64E-04	1.72E-02
ribose phosphate biosynthetic process (GO:0046390)	168	13	3.49	+	3.73	5.09E-05	3.31E-03
response to wounding (GO:0009611)	457	35	9.48	+	3.69	3.42E-11	4.20E-08
nucleoside triphosphate metabolic process (GO:0009141)	222	17	4.61	+	3.69	4.24E-06	4.14E-04
regulation of cell-substrate adhesion (GO:0010810)	223	17	4.63	+	3.67	4.50E-06	4.28E-04
gastrulation (GO:0007369)	173	13	3.59	+	3.62	6.88E-05	4.23E-03
xenobiotic metabolic process (GO:0006805)	134	10	2.78	+	3.60	4.93E-04	2.15E-02
response to acid chemical (GO:0001101)	134	10	2.78	+	3.60	4.93E-04	2.14E-02
response to amino acid (GO:0043200)	121	9	2.51	+	3.58	9.56E-04	3.57E-02
female pregnancy (GO:0007565)	178	13	3.69	+	3.52	9.20E-05	5.39E-03
alcohol metabolic process (GO:0006066)	310	22	6.43	+	3.42	6.12E-07	9.31E-05
nephron development (GO:0072006)	141	10	2.93	+	3.42	7.35E-04	2.95E-02
multi-organism reproductive process (GO:0044703)	198	14	4.11	+	3.41	7.08E-05	4.34E-03
purine ribonucleotide metabolic process (GO:0009150)	297	21	6.16	+	3.41	1.17E-06	1.56E-04
regulation of protein localization to cell periphery (GO:1904375)	157	11	3.26	+	3.38	4.49E-04	2.01E-02
glial cell development (GO:0021782)	129	9	2.68	+	3.36	1.50E-03	4.87E-02
sulfur compound metabolic process (GO:0006790)	273	19	5.66	+	3.35	4.75E-06	4.50E-04
generation of precursor metabolites and energy (GO:0006091)	374	26	7.76	+	3.35	8.70E-08	1.92E-05
regulation of muscle cell differentiation (GO:0051147)	144	10	2.99	+	3.35	8.65E-04	3.35E-02
endocytosis (GO:0006897)	512	35	10.62	+	3.29	7.44E-10	3.66E-07
aerobic respiration (GO:0009060)	205	14	4.25	+	3.29	1.03E-04	5.88E-03
regulation of endocytosis (GO:0030100)	309	21	6.41	+	3.28	2.20E-06	2.54E-04
regulation of protein localization to membrane (GO:1905475)	177	12	3.67	+	3.27	3.38E-04	1.61E-02
energy derivation by oxidation of organic compounds (GO:0015980)	310	21	6.43	+	3.26	2.32E-06	2.63E-04
Golgi vesicle transport (GO:0048193)	297	20	6.16	+	3.25	4.41E-06	4.23E-04
multi-multicellular organism process (GO:0044706)	208	14	4.32	+	3.24	1.20E-04	6.67E-03
nucleotide biosynthetic process (GO:0009165)	212	14	4.40	+	3.18	1.46E-04	7.89E-03
ribonucleotide metabolic process (GO:0009259)	319	21	6.62	+	3.17	3.64E-06	3.70E-04
regulation of body fluid levels (GO:0050878)	381	25	7.91	+	3.16	4.58E-07	7.43E-05
lipid modification (GO:0030258)	153	10	3.17	+	3.15	1.37E-03	4.52E-02
lipid transport (GO:0006869)	354	23	7.34	+	3.13	1.57E-06	1.94E-04
cellular respiration (GO:0045333)	231	15	4.79	+	3.13	1.03E-04	5.89E-03
regulation of vesicle-mediated transport (GO:0060627)	555	36	11.52	+	3.13	1.73E-09	7.99E-07
lipid localization (GO:0010876)	355	23	7.37	+	3.12	1.64E-06	2.02E-04
ribose phosphate metabolic process (GO:0019693)	326	21	6.76	+	3.10	5.10E-06	4.76E-04
organophosphate ester transport (GO:0015748)	175	11	3.63	+	3.03	1.11E-03	4.01E-02
protein targeting (GO:0006605)	224	14	4.65	+	3.01	2.59E-04	1.28E-02
lipid catabolic process (GO:0016042)	307	19	6.37	+	2.98	2.50E-05	1.91E-03
purine nucleotide metabolic process (GO:0006163)	372	23	7.72	+	2.98	3.61E-06	3.70E-04
hormone metabolic process (GO:0042445)	213	13	4.42	+	2.94	5.34E-04	2.27E-02
import into cell (GO:0098657)	706	43	14.65	+	2.94	2.99E-10	2.10E-07
negative regulation of apoptotic signaling pathway (GO:2001234)	232	14	4.81	+	2.91	3.70E-04	1.73E-02
amide metabolic process (GO:0043603)	431	26	8.94	+	2.91	1.32E-06	1.71E-04
positive regulation of cell motility (GO:2000147)	582	35	12.08	+	2.90	2.02E-08	5.52E-06
positive regulation of cell adhesion (GO:0045785)	499	30	10.35	+	2.90	2.16E-07	3.98E-05
positive regulation of cell migration (GO:0030335)	556	33	11.54	+	2.86	7.10E-08	1.64E-05
small molecule biosynthetic process (GO:0044283)	489	29	10.15	+	2.86	4.58E-07	7.51E-05
epithelial cell development (GO:0002064)	203	12	4.21	+	2.85	1.14E-03	4.12E-02
response to decreased oxygen levels (GO:0036293)	305	18	6.33	+	2.84	7.50E-05	4.52E-03
organic anion transport (GO:0015711)	409	24	8.49	+	2.83	5.43E-06	5.01E-04
purine-containing compound biosynthetic process (GO:0072522)	239	14	4.96	+	2.82	4.99E-04	2.16E-02
positive regulation of locomotion (GO:0040017)	599	35	12.43	+	2.82	4.13E-08	9.99E-06
anatomical structure homeostasis (GO:0060249)	240	14	4.98	+	2.81	5.20E-04	2.23E-02
tissue homeostasis (GO:0001894)	240	14	4.98	+	2.81	5.20E-04	2.22E-02
response to hypoxia (GO:0001666)	292	17	6.06	+	2.81	1.39E-04	7.61E-03
glial cell differentiation (GO:0010001)	224	13	4.65	+	2.80	8.54E-04	3.31E-02
vascular process in circulatory system (GO:0003018)	276	16	5.73	+	2.79	2.28E-04	1.14E-02
response to oxygen levels (GO:0070482)	333	19	6.91	+	2.75	7.48E-05	4.52E-03
intracellular protein transport (GO:0006886)	545	31	11.31	+	2.74	4.51E-07	7.48E-05
