




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
humoral immune response (GO:0006959)	273	5	.38	+	13.00	3.62E-05	1.05E-02
chemotaxis (GO:0006935)	351	6	.49	+	12.13	8.04E-06	3.21E-03
taxis (GO:0042330)	353	6	.50	+	12.06	8.31E-06	3.23E-03
inflammatory response (GO:0006954)	601	10	.85	+	11.81	5.08E-09	2.50E-05
locomotion (GO:0040011)	377	6	.53	+	11.29	1.21E-05	4.24E-03
homeostasis of number of cells (GO:0048872)	322	5	.45	+	11.02	7.93E-05	1.98E-02
wound healing (GO:0042060)	339	5	.48	+	10.47	1.01E-04	2.26E-02
regulation of inflammatory response (GO:0050727)	421	6	.59	+	10.11	2.25E-05	6.79E-03
regulation of body fluid levels (GO:0050878)	381	5	.54	+	9.31	1.74E-04	3.26E-02
response to bacterium (GO:0009617)	704	8	.99	+	8.06	4.09E-06	2.01E-03
innate immune response (GO:0045087)	800	9	1.13	+	7.98	9.63E-07	7.11E-04
cell-cell adhesion (GO:0098609)	551	6	.78	+	7.73	1.01E-04	2.29E-02
defense response to symbiont (GO:0140546)	908	9	1.28	+	7.03	2.75E-06	1.69E-03
defense response to other organism (GO:0098542)	924	9	1.30	+	6.91	3.17E-06	1.80E-03
cell activation (GO:0001775)	776	7	1.09	+	6.40	7.96E-05	1.96E-02
defense response (GO:0006952)	1527	13	2.15	+	6.04	4.32E-08	7.08E-05
regulation of defense response (GO:0031347)	863	7	1.22	+	5.76	1.55E-04	2.92E-02
regulation of response to external stimulus (GO:0032101)	1122	8	1.58	+	5.06	1.17E-04	2.43E-02
response to other organism (GO:0051707)	1457	9	2.05	+	4.38	1.19E-04	2.41E-02
response to external biotic stimulus (GO:0043207)	1460	9	2.06	+	4.37	1.21E-04	2.41E-02
immune system process (GO:0002376)	2436	15	3.43	+	4.37	1.83E-07	2.25E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1627	10	2.29	+	4.36	4.59E-05	1.25E-02
response to biotic stimulus (GO:0009607)	1507	9	2.12	+	4.24	1.54E-04	2.96E-02
cellular response to chemical stimulus (GO:0070887)	2010	12	2.83	+	4.24	7.74E-06	3.17E-03
immune response (GO:0006955)	1753	10	2.47	+	4.05	8.66E-05	2.06E-02
response to external stimulus (GO:0009605)	2003	11	2.82	+	3.90	4.75E-05	1.27E-02
response to stress (GO:0006950)	3577	17	5.04	+	3.37	7.17E-07	6.61E-04
regulation of multicellular organismal process (GO:0051239)	2996	13	4.22	+	3.08	8.79E-05	2.06E-02
regulation of biological quality (GO:0065008)	3033	13	4.27	+	3.04	1.00E-04	2.31E-02
response to chemical (GO:0042221)	3736	14	5.26	+	2.66	2.04E-04	3.67E-02
multicellular organismal process (GO:0032501)	6486	19	9.14	+	2.08	1.88E-04	3.47E-02
